product_id;tariff;code;child_code_1;child_count_1;child_code_2;child_count_2;child_code_3;child_count_3;child_code_4;child_count_4;period;region_id;profrole_group_id;price_all;currency
907479;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;19;54642300;RUR
907484;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;5;6591800;RUR
907485;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;5;8257600;RUR
907487;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;5;16218600;RUR
907488;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;5;20321100;RUR
907490;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;5;26592900;RUR
907491;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;5;33324800;RUR
907493;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;5;43615300;RUR
907494;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;5;54642300;RUR
907499;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;2;6891500;RUR
907500;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;2;8632900;RUR
907502;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;2;16955900;RUR
907503;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;2;21244900;RUR
907505;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;2;27801500;RUR
907506;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;2;34839400;RUR
907508;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;2;45597800;RUR
907509;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;2;57126100;RUR
907514;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;15;6591800;RUR
907515;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;15;8257600;RUR
907517;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;15;16218600;RUR
907518;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;15;20321100;RUR
907520;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;15;26592900;RUR
907521;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;15;33324800;RUR
907523;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;15;43615300;RUR
907524;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;15;54642300;RUR
907529;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;3;6891500;RUR
907530;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;3;8632900;RUR
907532;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;3;16955900;RUR
907533;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;3;21244900;RUR
907535;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;3;27801500;RUR
907536;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;3;34839400;RUR
907538;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;3;45597800;RUR
907539;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;3;57126100;RUR
907544;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;26;6891500;RUR
907545;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;26;8632900;RUR
907547;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;26;16955900;RUR
907548;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;26;21244900;RUR
907550;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;26;27801500;RUR
907551;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;26;34839400;RUR
907553;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;26;45597800;RUR
907554;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;26;57126100;RUR
907559;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;9;6591800;RUR
907560;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;9;8257600;RUR
907562;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;9;16218600;RUR
907563;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;9;20321100;RUR
907565;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;9;26592900;RUR
907566;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;9;33324800;RUR
907568;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;9;43615300;RUR
907569;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;9;54642300;RUR
907574;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;8;6591800;RUR
907575;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;8;8257600;RUR
907577;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;8;16218600;RUR
907578;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;8;20321100;RUR
907580;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;8;26592900;RUR
907581;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;8;33324800;RUR
907583;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;8;43615300;RUR
907584;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;8;54642300;RUR
907589;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;16;6591800;RUR
907590;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;16;8257600;RUR
907592;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;16;16218600;RUR
907593;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;16;20321100;RUR
907595;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;16;26592900;RUR
907596;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;16;33324800;RUR
907598;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;16;43615300;RUR
907599;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;16;54642300;RUR
907604;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;14;6591800;RUR
907605;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;14;8257600;RUR
907607;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;14;16218600;RUR
907608;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;14;20321100;RUR
907610;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;14;26592900;RUR
907611;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;14;33324800;RUR
907613;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;14;43615300;RUR
907614;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;14;54642300;RUR
907619;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;11;7191100;RUR
907620;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;11;9008300;RUR
907622;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;11;17693000;RUR
907623;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;11;22168400;RUR
907625;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;11;29010400;RUR
907626;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;11;36354300;RUR
907628;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;11;47580300;RUR
907629;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;11;59609600;RUR
907634;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;24;6591800;RUR
907635;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;24;8257600;RUR
907637;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;24;16218600;RUR
907638;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;24;20321100;RUR
907640;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;24;26592900;RUR
907641;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;24;33324800;RUR
907643;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;24;43615300;RUR
907644;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;24;54642300;RUR
907649;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;4;6891500;RUR
907650;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;4;8632900;RUR
907652;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;4;16955900;RUR
907653;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;4;21244900;RUR
907655;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;4;27801500;RUR
907656;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;4;34839400;RUR
907658;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;4;45597800;RUR
907659;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;4;57126100;RUR
907664;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;6;7191100;RUR
907665;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;6;9008300;RUR
907667;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;6;17693000;RUR
907668;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;6;22168400;RUR
907670;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;6;29010400;RUR
907671;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;6;36354300;RUR
907673;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;6;47580300;RUR
907674;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;6;59609600;RUR
907679;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;23;6891500;RUR
907680;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;23;8632900;RUR
907682;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;23;16955900;RUR
907683;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;23;21244900;RUR
907685;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;23;27801500;RUR
907686;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;23;34839400;RUR
907688;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;23;45597800;RUR
907689;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;23;57126100;RUR
907694;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;25;6591800;RUR
907695;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;25;8257600;RUR
907697;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;25;16218600;RUR
907698;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;25;20321100;RUR
907700;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;25;26592900;RUR
907701;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;25;33324800;RUR
907703;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;25;43615300;RUR
907704;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;25;54642300;RUR
907709;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;1;7191100;RUR
907710;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;1;9008300;RUR
907712;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;1;17693000;RUR
907713;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;1;22168400;RUR
907715;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;1;29010400;RUR
907716;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;1;36354300;RUR
907718;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;1;47580300;RUR
907719;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;1;59609600;RUR
907724;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;7;6591800;RUR
907725;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;7;8257600;RUR
907727;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;7;16218600;RUR
907728;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;7;20321100;RUR
907730;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;7;26592900;RUR
907731;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;7;33324800;RUR
907733;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;7;43615300;RUR
907734;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;7;54642300;RUR
907739;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;17;6891500;RUR
907740;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;17;8632900;RUR
907742;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;17;16955900;RUR
907743;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;17;21244900;RUR
907745;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;17;27801500;RUR
907746;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;17;34839400;RUR
907748;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;17;45597800;RUR
907749;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;17;57126100;RUR
907754;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;21;6891500;RUR
907755;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;21;8632900;RUR
907757;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;21;16955900;RUR
907758;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;21;21244900;RUR
907760;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;21;27801500;RUR
907761;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;21;34839400;RUR
907763;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;21;45597800;RUR
907764;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;21;57126100;RUR
907769;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;22;6591800;RUR
907770;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;22;8257600;RUR
907772;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;22;16218600;RUR
907773;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;22;20321100;RUR
907775;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;22;26592900;RUR
907776;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;22;33324800;RUR
907778;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;22;43615300;RUR
907779;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;22;54642300;RUR
907784;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;18;6891500;RUR
907785;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;18;8632900;RUR
907787;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;18;16955900;RUR
907788;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;18;21244900;RUR
907790;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;18;27801500;RUR
907791;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;18;34839400;RUR
907793;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;18;45597800;RUR
907794;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;18;57126100;RUR
907799;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;10;6891500;RUR
907800;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;10;8632900;RUR
907802;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;10;16955900;RUR
907803;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;10;21244900;RUR
907805;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;10;27801500;RUR
907806;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;10;34839400;RUR
907808;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;10;45597800;RUR
907809;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;10;57126100;RUR
907814;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;20;6591800;RUR
907815;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;20;8257600;RUR
907817;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;20;16218600;RUR
907818;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;20;20321100;RUR
907820;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;20;26592900;RUR
907821;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;20;33324800;RUR
907823;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;20;43615300;RUR
907824;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;20;54642300;RUR
907829;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;12;6591800;RUR
907830;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;12;8257600;RUR
907832;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;12;16218600;RUR
907833;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;12;20321100;RUR
907835;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;12;26592900;RUR
907836;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;12;33324800;RUR
907838;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;12;43615300;RUR
907839;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;12;54642300;RUR
907844;;DI;CIV;700;API_LIMITED;7000;;;;;30;2000231;13;6591800;RUR
907845;;DI;CIV;700;API_LIMITED;7000;;;;;30;3000233;13;8257600;RUR
907847;;DI;CIV;1750;API_LIMITED;17500;;;;;92;2000231;13;16218600;RUR
907848;;DI;CIV;1750;API_LIMITED;17500;;;;;92;3000233;13;20321100;RUR
907850;;DI;CIV;2900;API_LIMITED;29000;;;;;183;2000231;13;26592900;RUR
907851;;DI;CIV;2900;API_LIMITED;29000;;;;;183;3000233;13;33324800;RUR
907853;;DI;CIV;5000;API_LIMITED;50000;;;;;365;2000231;13;43615300;RUR
907854;;DI;CIV;5000;API_LIMITED;50000;;;;;365;3000233;13;54642300;RUR
907859;;DI;CIV;410;API_LIMITED;4100;;;;;30;1000001;19;4479500;RUR
907861;;DI;CIV;410;API_LIMITED;4100;;;;;30;2000232;19;3818800;RUR
907862;;DI;CIV;1030;API_LIMITED;10300;;;;;92;1000001;19;11017100;RUR
907864;;DI;CIV;1030;API_LIMITED;10300;;;;;92;2000232;19;9374100;RUR
907865;;DI;CIV;1700;API_LIMITED;17000;;;;;183;1000001;19;18061100;RUR
